Date,CP,Volume,High,SMAC,EMAC,WMAC,RSIC,SMAL,EMAL,WMAL,RSIL,CP-1,CP-2,CP-3,CP-4,CP-5,R-1,R-2,R-3,R-4,R-5,R,B
20060510,8.64,70192576,8.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08999999999999986,1
20060511,8.55,101206448,8.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08999999999999986,1
20060512,8.46,67378816,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20000000000000107,1
20060515,8.26,145948496,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019999999999999574,1
20060516,8.24,97954840,8.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02999999999999936,1
20060517,8.21,86709216,8.23,7.194285714285715,5.395714285714286,6.23642857142857,NA,NA,NA,NA,NA,8.24,8.26,8.46,8.55,8.64,0.02999999999999936,0.019999999999999574,0.20000000000000107,0.08999999999999986,0.08999999999999986,0.19000000000000128,1
20060518,8.02,0,8.3,7.105714285714287,5.550535714285714,6.156428571428571,93.30453563714902,NA,NA,NA,NA,8.21,8.24,8.26,8.46,8.55,0.19000000000000128,0.02999999999999936,0.019999999999999574,0.20000000000000107,0.08999999999999986,0.019999999999999574,1
20060519,8.0,0,8.16,7.0271428571428585,5.662901785714285,6.094285714285713,93.07001795332135,NA,NA,NA,NA,8.02,8.21,8.24,8.26,8.46,0.019999999999999574,0.19000000000000128,0.02999999999999936,0.019999999999999574,0.20000000000000107,0.11000000000000032,1
20060522,7.89,0,8.0,6.9457142857142875,5.726551339285714,6.028214285714284,91.59280308607438,NA,NA,NA,NA,8.0,8.02,8.21,8.24,8.26,0.11000000000000032,0.019999999999999574,0.19000000000000128,0.02999999999999936,0.019999999999999574,0.019999999999999574,1
20060523,7.87,94159040,8.14,6.8900000000000015,5.770538504464286,5.978214285714285,91.2854627274506,NA,NA,NA,NA,7.89,8.0,8.02,8.21,8.24,0.019999999999999574,0.11000000000000032,0.019999999999999574,0.19000000000000128,0.02999999999999936,0.16999999999999993,1
20060524,7.7,154942432,7.95,6.812857142857145,5.771653878348214,5.905714285714284,88.3457190263654,NA,NA,NA,NA,7.87,7.89,8.0,8.02,8.21,0.16999999999999993,0.019999999999999574,0.11000000000000032,0.019999999999999574,0.19000000000000128,-0.25,0
